Source reference,Soil name,Site label,Depth (cm),Horizon,Field/lab,Sample Height (cm),Sample diameter (cm),Method,Ksat,Units,Bulk density,Very coarse,Coarse,Medium,Fine,Very fine,Sand (%),Silt  (%),Clay (%),Coarse fragments (%),Textural class,Organic carbon,Organic matter,Units,Stdev_Bulk density,Stdev_Sand (%),Stdev_Silt  (%),Stdev_Clay (%),Stdev_Coarse_fragments (%),Textural class,Stdev_Organic carbon,Other potentally relevant info,,
1,Groseclose,I/1,0,,Lab,4,5.4,Falling head,7.63E-06,,1.24,3.5,6,5.2,6.3,4.9,25.8,59.4,14.8,,,,5.5,,,,,,,,,,,
1,Groseclose,I/1,50,,Lab,4,5.4,Falling head,4.31E-06,,1.45,2.9,3.8,3.6,2.9,3,16.1,36,47.9,,,,0.7,,,,,,,,,,,
1,Groseclose,I/2,0,,Lab,4,5.4,Falling head,3.74E-06,,1.35,6.1,4.7,5.2,5.5,5.2,26.9,60.5,12.6,,,,4.5,,,,,,,,,,,
1,Groseclose,I/2,50,,Lab,4,5.4,Falling head,1.14E-08,,1.41,1.6,1.4,1.4,1.7,2.5,8.6,34.5,68.2,,,,0.4,,,,,,,,,,,
1,Groseclose,I/3,0,,Lab,4,5.4,Falling head,1.45E-06,,1.25,6.1,4.5,4.9,6.5,3,25.1,60.9,13.9,,,,5.2,,,,,,,,,,,
1,Groseclose,I/3,50,,Lab,4,5.4,Falling head,4.26E-08,,1.57,1.9,2,2.5,3.7,4.3,14.4,51.3,34.2,,,,0.3,,,,,,,,,,,
1,Groseclose,I/4,0,,Lab,4,5.4,Falling head,3.22E-06,,1.34,10.3,4.3,4.6,4.8,4.7,28.9,60,11.1,,,,3.8,,,,,,,,,,,
1,Groseclose,I/4,50,,Lab,4,5.4,Falling head,1.15E-08,,1.66,2.6,2.7,2.3,3,4,14.7,39.5,45.8,,,,0.1,,,,,,,,,,,
1,Groseclose,I/5,0,,Lab,4,5.4,Falling head,3.39E-05,,1.48,8,4.2,3.9,5.9,5.1,27.1,59.2,13.7,,,,3.3,,,,,,,,,,,
1,Groseclose,I/5,50,,Lab,4,5.4,Falling head,4.40E-07,,1.71,3.5,2.2,2.3,4,4.7,16.8,58.1,25.1,,,,0.3,,,,,,,,,,,
1,Groseclose,I/6,0,,Lab,4,5.4,Falling head,9.16E-06,,1.51,11,5.1,4.8,6.1,5.1,32,56.1,11.9,,,,4.5,,,,,,,,,,,
1,Groseclose,I/6,50,,Lab,4,5.4,Falling head,2.31E-07,,1.66,2.8,2.2,2.7,4.3,5.8,17.3,59.3,23.4,,,,0.2,,,,,,,,,,,
1,Groseclose,I/7,0,,Lab,4,5.4,Falling head,8.55E-06,,1.57,9.8,4.3,4.1,4.7,5.2,28.2,56.4,15.3,,,,3.3,,,,,,,,,,,
1,Groseclose,I/7,50,,Lab,4,5.4,Falling head,1.99E-08,,1.39,0.3,0.8,0.9,1.5,3.2,6.8,43.5,49.8,,,,0.2,,,,,,,,,,,
1,Groseclose,I/8,0,,Lab,4,5.4,Falling head,8.34E-06,,1.32,7.6,4.8,4,4.7,4.9,26.2,61.8,12.1,,,,3.2,,,,,,,,,,,
1,Groseclose,I/8,50,,Lab,4,5.4,Falling head,2.26E-06,,1.41,0.9,1.4,1.1,1.4,2.6,7.5,48.2,44.3,,,,0.3,,,,,,,,,,,
1,Groseclose,I/9,0,,Lab,4,5.4,Falling head,1.85E-05,,1.37,12.8,4.6,3.9,4.8,5.2,31.1,57.9,11,,,,2.9,,,,,,,,,,,
1,Groseclose,I/9,50,,Lab,4,5.4,Falling head,4.61E-05,,1.49,0.3,0.5,0.8,1.6,2.1,5.4,54.7,39.9,,,,0.4,,,,,,,,,,,
1,Groseclose,I/10,0,,Lab,4,5.4,Falling head,1.40E-06,,1.43,9.7,6.2,3.9,4.4,3.2,27.4,61.7,10.9,,,,3.1,,,,,,,,,,,
1,Groseclose,I/10,50,,Lab,4,5.4,Falling head,1.62E-06,,1.39,2.8,1.9,1.5,1.8,2.2,10.3,30.4,59.3,,,,0.3,,,,,,,,,,,
1,Groseclose,I/11,0,,Lab,4,5.4,Falling head,2.44E-06,,1.39,9,6.7,4,3.9,4.5,28.1,61.3,10.6,,,,3.2,,,,,,,,,,,
1,Groseclose,I/11,50,,Lab,4,5.4,Falling head,2.55E-06,,1.42,1.2,1.7,1.4,2.4,3.5,10.2,36.7,53.1,,,,0.3,,,,,,,,,,,
1,Groseclose,I/12,0,,Lab,4,5.4,Falling head,2.59E-07,,1.47,8.1,6.9,4.4,5.2,4.7,29.2,60,10.9,,,,3.2,,,,,,,,,,,
1,Groseclose,I/12,50,,Lab,4,5.4,Falling head,None,,None,None,None,None,None,None,None,None,None,,,,None,,,,,,,,,,,
